Timestamp,Do you meet all the prerequisites above?,Please take a screen-capture of the interface and upload it.,Please take a screen-capture of the interface and upload it.,Please take a screen-capture of the interface and upload it.,"Which version, in terms of layout, supported your needs to practise coding better? ",Which are you more likely to use?,Any feedback in terms of design of both Version 1 and Version 2?,Which version - in terms of the combination of questions that typically appears in technical assessments - supported your needs to practise coding better?,Which are you more likely to use?,Any feedback in terms of the coding questions for both Version 1 and Version 2?
12/2/22 21:09,Yes and I'm ready to do the survey!,https://drive.google.com/open?id=1KeGhvLtGM5FB6iPP32XR-bsNYfkYKjOU,https://drive.google.com/open?id=178txZczpkIqT4uwNik4PgeiHxX6OHRk4,https://drive.google.com/open?id=1OfRmzjYGwGbOhEBQImLWVbbJBulBzBoL,Version 2,Version 2,,Version 2,Version 2,Questions repeated in V1. V2 gives better questions. 
12/2/22 23:42,Yes and I'm ready to do the survey!,https://drive.google.com/open?id=1v0paBp8ogZOZI2gE1qRSA110RsRv1SnV,https://drive.google.com/open?id=1x2XGyO1SOLOGuS_PZHuuNOeq4YEtJu5a,https://drive.google.com/open?id=1Vqm01m2_CbL88sPLaeHZDBGITXNI1ntN,Version 2,Version 2,V1 was more straightforward but V2 was more fun tho,Version 2,Version 2,repeated qns in version 1
13/2/22 1:11,Yes and I'm ready to do the survey!,https://drive.google.com/open?id=1t4ochKTZlbtwx1M9a19ini6-3mM_lNrV,https://drive.google.com/open?id=1xoOLRnVto5agMFSclM4QUhvZshwzTCPx,https://drive.google.com/open?id=1F-vZSCiG-I2HJARFbbWMPhJOMw5pPGo7,Version 2,Version 2,na,Version 2,Version 2,version 1 is good when you want to complete questions infinitely. ver 2 seems to run out of questions as the qns are unique
13/2/22 2:09,Yes and I'm ready to do the survey!,https://drive.google.com/open?id=1looiRwW6vjd9pwjiIQ6SyDrwX0NLVV54,https://drive.google.com/open?id=1FhFOdzJiPUveYjjyoe-QdkjEaB1WGBTX,https://drive.google.com/open?id=17QN-K1mfMKOiDbBWbLpEDbULISDf5Gqv,Version 2,Version 2,customizable,Version 2,Version 2,
13/2/22 12:09,Yes and I'm ready to do the survey!,https://drive.google.com/open?id=1hdvu8xQ2WCOFrHphvTtDzeTCj97oG46O,https://drive.google.com/open?id=1RfpvLjki0L26DV2SPsvFy61BGCRmFDuh,https://drive.google.com/open?id=1TeVoXS-06yIxq4QcwOd85Aqez3sU_pqB,Version 1,Version 2,v2  can be improved ,Version 2,Version 2,
13/2/22 12:14,Yes and I'm ready to do the survey!,https://drive.google.com/open?id=19hLnjsIho0gL0NSQyxk9JFDO9A5oJfFY,https://drive.google.com/open?id=1QwryHbdCPaQu_MCKOwsdzy2KwuwgJFjA,https://drive.google.com/open?id=1TNUlCxLc5lfP48ktYlx0u0rbvBOn_09z,Version 2,Version 2,,Version 2,Version 1,
13/2/22 12:18,Yes and I'm ready to do the survey!,https://drive.google.com/open?id=1c7eArogdcyp-xnYMUpJFVE4DnBE5Loet,https://drive.google.com/open?id=1JMSStxSKZPWJtzD9LSQAqCTI3RAEhcqb,https://drive.google.com/open?id=1ATPpJyiFzz2aW2CVmv8z_qj4t5jt3XuU,Version 1,Version 2,personally like simpler and more straightforward design,Version 2,Version 2,
13/2/22 17:51,Yes and I'm ready to do the survey!,https://drive.google.com/open?id=1jPlRQxs67gp8S15pkAw4iBjDnBJj60po,https://drive.google.com/open?id=1hRcQOPLWMA-YEG16H7Xdn8nll_GJt2E6,https://drive.google.com/open?id=1BCcP0LvJuFzF5abBacO4Psb2GtO6gTo2,Version 2,Version 2,,Version 2,Version 2,
13/2/22 19:20,Yes and I'm ready to do the survey!,https://drive.google.com/open?id=1n_OKqRlHm6u4KE33fks3m0wk5JgiZ_61,https://drive.google.com/open?id=1eUfYMVwwLvDQux4nKa-pNWTPwmjtaBkG,https://drive.google.com/open?id=1sLXDH_Y5Y1K73ZzbI6zlS0V8FQQA3HCJ,Version 2,Version 2,,Version 2,Version 2,
13/2/22 19:38,Yes and I'm ready to do the survey!,https://drive.google.com/open?id=1Gbia3iLvPnd3c6U9ocoTKpGX-Kjl_hX_,https://drive.google.com/open?id=12cvn0YeMzpcHAs_lv8uLdw4SHrPb0sKa,https://drive.google.com/open?id=1naFon7CEf81QjbizzKC2U9lKTAjhWlCW,Version 2,Version 2,V2 takes some time to understand compared to V1,Version 2,Version 2,not bad for 2 days of coding jean hahahaha
13/2/22 19:42,Yes and I'm ready to do the survey!,https://drive.google.com/open?id=1W3qWxLh4uaidl4JSpFUDJua1c-Iwc9ZK,https://drive.google.com/open?id=1FKZ0q13N1ZNB4zfh9VuMlmx6EpCLPe7q,https://drive.google.com/open?id=1QAiTIAjyoainjYb3j59Ayszq2FPmPgkX,Version 2,Version 2,,Version 2,Version 2,
13/2/22 20:24,Yes and I'm ready to do the survey!,https://drive.google.com/open?id=1eIrVAS6x_hPTT_SdKM5-c1JQRtoGJMJq,https://drive.google.com/open?id=1yHFBjxMRrJt8Pq5TSIk-BmHYzeyKpsWN,https://drive.google.com/open?id=1oo1NG7qa8_iVDdEqiS1naB3QZnP6JPyY,Version 2,Version 2,,Version 2,Version 2,
13/2/22 20:44,Yes and I'm ready to do the survey!,https://drive.google.com/open?id=1eGdFonrjoS15xSHXtdtel9qwHv-AvfJ3,https://drive.google.com/open?id=1l_EgnwOPGOc1FwZlK9pmyMX_QU_L1c6z,https://drive.google.com/open?id=14mmbtj71fhCinyd7WDxF_OGOfj4EcyKI,Version 1,Version 1,less complicated,Version 2,Version 2,tailored questions
13/2/22 22:24,Yes and I'm ready to do the survey!,https://drive.google.com/open?id=1xTvLVpZRzI_HxBKOAszBr4anTmoXc9IO,https://drive.google.com/open?id=1k8HxT68mdMui2QZv6PUu4GZv8nWFpvyU,https://drive.google.com/open?id=1wCwM-jl8jsaWy4vdaY1ZJRwuzhHItVCu,Version 2,Version 2,,Version 2,Version 2,
